Company,Time,Financial Distress,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,class
1,1,0.010636,1.281,0.022934,0.87454,1.2164,0.06094,0.18827,0.5251,0.018854,0.18279,0.0064489,0.85822,2.0058,0.12546,6.9706,4.6512,0.0501,2.1984,0.018265,0.024978,0.027264,1.4173,9.5554,0.14872,0.66995,214.76,12.641,6.4607,0.043835,0.20459,0.35179,8.3161,0.28922,0.76606,2.5825,77.4,0.026722,1.6307,0.015016,0.0054783,0.1273,9.6951,-0.73622,0.98559,0.18016,1.5006,0.026224,7.0513,1174.9,5.3399,0.85128,12.837,0.061737,0.1809,209.87,-0.58255,0.47101,0.1099,0,0,0.22009,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4,36,85.437,27.07,26.102,16,16,0.2,22,0.06039,30,49,
1,2,-0.45597,1.27,0.0064542,0.82067,1.0049,-0.01408,0.18104,0.62288,0.006423,0.035991,0.0017951,0.85152,-0.48644,0.17933,4.5764,3.7521,-0.014011,2.4575,0.027558,0.028804,0.041102,1.1801,7.2952,0.056026,0.67048,38.242,12.877,5.5506,0.26548,0.15019,0.41763,9.5276,0.41561,0.81699,2.6033,95.947,0.0075797,0.83754,0.027425,0.045434,0.13774,5.6035,-0.64385,1.3019,0.046857,1.0095,0.0078645,4.6022,1062.5,3.7389,0.94397,12.881,-0.00056494,0.056298,250.14,-0.47477,0.38599,0.36933,0,0,0,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0,36,107.09,31.31,30.194,17,16,0.4,22,0.010636,31,50,
1,3,-0.32539,1.0529,-0.059379,0.92242,0.72926,0.020476,0.044865,0.43292,-0.081423,-0.7654,-0.054324,0.89314,0.4122,0.077578,11.89,2.4884,0.028077,1.3957,0.012595,0.068116,0.014847,0.81652,7.1204,0.06522,0.84827,-498.39,13.225,16.254,0.41657,0.074149,0.36723,9.3513,0.50356,0.91962,1.4931,144.67,-0.066483,0.95579,0.01727,0.028059,0.10242,9.4003,-14.032,0.75746,-0.57976,0.57832,-0.064373,11.988,651.15,10.934,0.93478,12.909,0.041625,0.047562,280.55,-1,0.48844,0.053299,0.0037854,0.0051907,0,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747,11.946,15.2,20.7,0,35,120.87,36.07,35.273,17,15,-0.2,22,-0.45597,32,51,
1,4,-0.56657,1.1131,-0.015229,0.85888,0.80974,0.076037,0.091033,0.67546,-0.018807,-0.10791,-0.065316,0.89581,0.9949,0.14112,6.0862,1.6382,0.093904,2.0588,0.011601,0.094385,0.014415,0.90391,7.9828,0.12516,0.80478,-75.867,13.305,8.895,0.083774,0.054098,0.5436,7.0909,0.67133,0.93701,2.3533,219.75,-0.017,0.38335,0.014327,0.20337,0.10143,5.7379,0.72205,1.3912,-0.15013,0.64508,-0.017731,6.1114,703.04,5.7028,0.87484,13.094,0.1084,0.10135,413.74,0.565,0.34408,0.073356,3.66E-05,4.53E-05,0,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4,33,54.806,39.8,38.377,17.167,16,5.6,22,-0.32539,33,52,
2,1,1.3573,1.0623,0.10702,0.8146,0.83593,0.19996,0.0478,0.742,0.12803,0.57725,0.094075,0.81549,3.0147,0.1854,4.3938,1.6169,0.23921,3.0311,0.0068143,0.079346,0.0088763,1.0251,4.7463,0.26602,0.7677,1423.1,11.575,17.488,0.62077,0.046907,0.56963,9.4861,0.68143,0.94242,4.1296,222.65,0.13123,0.25301,0.0081518,0.35301,0.17612,4.5088,-0.11339,1.0527,0.60766,0.25782,0.13138,4.4151,2465.4,4.1408,0.73398,11.396,0.25031,0.22237,315.34,-0.060101,0.20242,1.2291,-0.002491,-0.00298,0.22688,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4,36,85.437,27.07,26.102,16,16,0.2,29,1.251,7,27,
2,2,0.0071875,1.0558,0.081916,0.87949,0.68673,0.14263,0.043102,0.77198,0.11928,0.67973,0.063605,0.81574,2.3646,0.12051,7.2978,1.2609,0.20769,2.9089,0.012307,0.087834,0.015929,0.84185,3.8821,0.23988,0.77264,1748,12.048,15.933,0.60471,0.10685,0.59646,5.5914,0.86856,0.87851,3.8269,285.5,0.10042,0.8866,0.017922,0.31829,0.1769,5.6983,0.22828,0.68127,0.46308,0.35765,0.093141,7.3356,2571.6,6.4112,0.76012,11.672,0.22394,0.16473,412.79,0.10245,0.17945,0.61177,-0.011241,-0.016369,0.22445,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0,36,107.09,31.31,30.194,17,16,0.4,29,1.3573,8,28,
2,3,1.2002,0.97059,0.076064,0.90677,0.8098,0.16592,-0.024649,0.7366,0.093929,0.81591,0.00058253,0.8134,2.7302,0.093225,9.7267,1.5041,0.20489,3.4966,0.020875,0.075045,0.024909,0.99557,4.5406,0.24266,0.83805,938.5,12.193,-32.853,0.15642,0.068724,0.61731,5.1689,0.7623,0.92421,4.6169,239.35,0.093513,0.73718,0.025778,0.36366,0.17835,8.6864,0.073799,0.52272,0.42649,-0.2644,0.083884,9.7846,1150.3,8.9895,0.75734,11.982,0.22186,0.19651,592.09,0.035586,0.1754,0.16591,-0.017866,-0.022062,0.22402,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747,11.946,15.2,20.7,0,35,120.87,36.07,35.273,17,15,-0.2,29,0.0071875,9,29,
2,4,2.2348,1.059,0.1302,0.81811,0.87599,0.23445,0.045576,0.78727,0.14864,0.71584,0.092603,0.8181,3.1209,0.18189,4.4979,1.5652,0.26764,3.3634,0.0036553,0.085757,0.0047316,1.0708,4.9847,0.3025,0.77253,1687.5,12.242,19.221,0.050427,0.045585,0.60819,4.679,0.69429,0.94428,4.8221,230,0.15915,0.25062,0.0041728,0.13629,0.17574,4.8161,0.79808,1.035,0.7409,0.25057,0.15915,4.5109,2357.4,4.2473,0.6975,12.11,0.28792,0.26499,698.67,0.28522,0.18166,0.035049,-0.026267,-0.029986,0.18291,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4,33,54.806,39.8,38.377,17.167,16,5.6,29,1.2002,10,30,
2,5,1.3405,1.1245,0.14784,0.75871,1.0799,0.27644,0.089408,0.80356,0.1369,0.61271,0.15897,0.8074,4.3773,0.24129,3.1444,2.043,0.25598,3.6609,0.019331,0.058481,0.026924,1.3375,5.7869,0.32718,0.71799,2078.3,12.324,12.079,0.084656,0.040716,0.57695,2.5889,0.53425,0.94634,5.4411,176.22,0.18311,0.16874,0.0179,0.33717,0.18661,4.4756,0.23159,1.293,0.79223,0.37054,0.19486,3.1507,3392,2.9756,0.67282,12.4,0.27446,0.35333,1042.5,0.10378,0.19848,0.1518,-0.074243,-0.068748,0.22221,5.3189,5.7874,3.9589,4.1343,3.8227,39.432,11.3,9225.9,-43.911,11.9,25.157,4,31,59.806,44.53,42.822,15.5,14,2.1,29,2.2348,11,31,
2,6,2.0474,1.5998,0.26246,0.54615,1.3127,0.36948,0.29664,0.85364,0.19993,0.5783,0.24735,0.79121,11.065,0.45385,1.2034,3.8466,0.28146,2.9343,0.066418,0.025436,0.13429,1.6592,6.8246,0.32877,0.49458,1422.4,12.469,4.4254,0.15651,0.051575,0.42219,3.3851,0.32161,0.90557,4.3715,93.59,0.33172,0.11364,0.050595,0.40583,0.19235,2.8925,1.0531,2.3595,1.3645,0.6536,0.48057,1.2045,2459.5,1.0897,0.67123,12.741,0.29263,0.43159,1416.9,0.34494,0.3003,0.19207,-0.14027,-0.10685,0.22399,6.7298,11.801,-0.1823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2,29,66.262,52.74,49.206,15.5,12,-6.4,29,1.3405,12,32,
